Name,Stat1,Stat2,Stat3,Stat4,Stat5,Stat6,Stat7,Stat8,Stat9,Stat10,Stat11,Stat12,Stat13,Stat14
https://www.flashscore.com/player/holiday-jrue/xUfyVcae/,MIL,51,8,8,32:28,20,30,-,-,3,6,8,10,26
https://www.flashscore.com/player/antetokounmpo-giannis/zw2Tm2a1/,MIL,38,17,12,32:10,14,18,-,-,-,-,10,14,20
https://www.flashscore.com/player/mathurin-bennedict/8pMCfl0L/,IND,29,9,2,40:34,11,21,-,-,1,5,6,9,-11
https://www.flashscore.com/player/nesmith-aaron/W8IbewZP/,IND,22,2,3,30:50,7,9,-,-,5,5,3,4,-13
https://www.flashscore.com/player/lopez-brook/dC2oIKFk/,MIL,21,8,1,31:18,9,14,-,-,-,2,3,3,22
https://www.flashscore.com/player/nwora-jordan/4EDEstWd/,IND,18,2,2,34:29,7,14,-,-,3,6,1,2,-23
https://www.flashscore.com/player/smith-jalen/vFVCXZtJ/,IND,17,6,4,19:34,8,15,-,-,1,5,-,-,-
https://www.flashscore.com/player/nembhard-andrew/MZmrxiIO/,IND,15,2,15,27:41,6,15,-,-,1,4,2,2,-10
https://www.flashscore.com/player/brissett-oshae/pdXdcwK7/,IND,12,3,2,24:12,4,9,-,-,3,5,1,2,13
https://www.flashscore.com/player/mcconnell-t-j/d2csnV27/,IND,12,2,6,20:16,6,8,-,-,-,-,-,-,-8
https://www.flashscore.com/player/portis-bobby/SWIo11NN/,MIL,12,8,-,23:12,5,7,-,-,1,1,1,2,-
https://www.flashscore.com/player/green-a-j/OYgeaZzl/,MIL,9,1,1,18:09,3,7,-,-,3,6,-,-,-1
https://www.flashscore.com/player/jackson-isaiah/IHIfJekO/,IND,9,3,1,22:27,4,10,-,-,-,-,1,1,-15
https://www.flashscore.com/player/carter-jevon/OSkqWTn8/,MIL,8,2,2,27:30,3,6,-,-,2,5,-,-,-5
https://www.flashscore.com/player/matthews-wesley/bJDU0XTn/,MIL,7,1,1,20:21,3,4,-,-,1,2,-,-,14
https://www.flashscore.com/player/allen-grayson/QazGs022/,MIL,3,2,3,25:58,1,3,-,-,-,1,1,1,8
https://www.flashscore.com/player/hill-george/AwyjjVhD/,IND,2,-,1,13:57,-,-,-,-,-,-,2,2,-
https://www.flashscore.com/player/antetokounmpo-thanasis/UHxoXVDn/,MIL,-,-,-,2:14,-,-,-,-,-,-,-,-,-6
https://www.flashscore.com/player/beauchamp-marjon/4lDO4eDQ/,MIL,-,1,-,2:14,-,-,-,-,-,-,-,-,-6
https://www.flashscore.com/player/connaughton-pat/tb1di5Bj/,MIL,-,4,-,19:41,-,3,-,-,-,2,-,-,-1
https://www.flashscore.com/player/dragic-goran/bmeRaF3g/,MIL,-,-,-,4:42,-,1,-,-,-,-,-,-,-6
https://www.flashscore.com/player/johnson-james/4htqnmXq/,IND,-,-,-,5:58,-,-,-,-,-,-,-,-,2
