ID,Name,Link,Stat1,Stat2,Stat3,Stat4,Stat5,Stat6,Stat7,Stat8,Stat9,Stat10,Stat11,Stat12,Stat13,Stat14
vTsVATcS,Doornekamp A.,21,5,1,21:25,-,-,1,1,6,10,1,1,32
d2NaKecr,Shermadini G.,21,6,2,23:39,-,-,5,8,-,-,11,11,7
KE7Z4LcG,Robinson D.,12,6,1,24:59,-,-,6,11,-,1,-,-,-16
j7zRmlV0,Garcia D.,11,-,6,16:16,-,-,1,2,3,4,-,-,1
6ZXvLgvp,Huertas M.,11,3,10,21:53,-,-,4,6,-,-,3,4,7
MLAJIYnk,Abromaitis T.,10,6,-,21:50,-,-,2,4,1,2,3,3,-15
OQhdGy62,Bolmaro L.,10,1,-,13:17,-,-,2,3,1,3,3,3,-1
KrcCF12j,Ferrari F.,10,2,4,13:19,-,-,2,6,2,4,-,-,-
42oW2uEi,Salin S.,10,2,1,25:03,-,-,1,1,2,9,2,2,16
jm9NhApr,Geben M.,9,6,1,19:07,-,-,3,6,1,2,-,-,-10
StEqStwD,Waczynski A.,8,2,-,15:15,-,-,-,-,2,5,2,3,1
4KKgjNXa,Cook E.,7,7,1,20:15,-,-,1,2,1,3,2,2,13
GWsReuE3,Guerra F.,6,4,3,13:10,-,-,3,3,-,-,-,-,3
WOP661cb,Olumuyiwa B.,6,4,-,13:19,-,-,2,5,-,-,2,2,-6
WSagtysr,Perez D.,6,2,3,15:57,-,-,1,3,-,3,4,4,-14
M1nqr5o3,Vaulet J.,6,3,2,15:01,-,-,3,4,-,1,-,-,3
nNezr6cT,Badio B.,5,1,1,16:00,-,-,1,1,1,3,-,-,-6
riOas1WP,Harding J.,5,4,-,23:18,-,-,1,8,1,2,-,-,-10
b7kxMvNp,Jou Coll G.,5,4,-,19:55,-,-,1,1,1,2,-,-,-11
SQuAt4dP,Steinbergs M.,4,1,-,07:34,-,-,-,-,1,1,1,4,3
t4tFyDeD,Fernandez J.,2,-,1,12:18,-,-,-,1,-,4,2,2,-8
OAhUo1US,Fitipaldo B.,2,-,3,23:59,-,-,-,2,-,2,2,2,8
tOz2GgJ5,Diagne M.,-,-,-,03:11,-,-,-,-,-,-,-,-,3
