ID,Name,Link,Stat1,Stat2,Stat3,Stat4,Stat5,Stat6,Stat7,Stat8,Stat9,Stat10,Stat11,Stat12,Stat13,Stat14
xUfyVcae,Holiday J.,51,8,8,32:28,20,30,-,-,3,6,8,10,26
zw2Tm2a1,Antetokounmpo G.,38,17,12,32:10,14,18,-,-,-,-,10,14,20
8pMCfl0L,Mathurin B.,29,9,2,40:34,11,21,-,-,1,5,6,9,-11
W8IbewZP,Nesmith A.,22,2,3,30:50,7,9,-,-,5,5,3,4,-13
dC2oIKFk,Lopez B.,21,8,1,31:18,9,14,-,-,-,2,3,3,22
4EDEstWd,Nwora J.,18,2,2,34:29,7,14,-,-,3,6,1,2,-23
vFVCXZtJ,Smith J.,17,6,4,19:34,8,15,-,-,1,5,-,-,-
MZmrxiIO,Nembhard A.,15,2,15,27:41,6,15,-,-,1,4,2,2,-10
pdXdcwK7,Brissett O.,12,3,2,24:12,4,9,-,-,3,5,1,2,13
d2csnV27,McConnell T.J.,12,2,6,20:16,6,8,-,-,-,-,-,-,-8
SWIo11NN,Portis B.,12,8,-,23:12,5,7,-,-,1,1,1,2,-
OYgeaZzl,Green A.,9,1,1,18:09,3,7,-,-,3,6,-,-,-1
IHIfJekO,Jackson I.,9,3,1,22:27,4,10,-,-,-,-,1,1,-15
OSkqWTn8,Carter J.,8,2,2,27:30,3,6,-,-,2,5,-,-,-5
bJDU0XTn,Matthews W.,7,1,1,20:21,3,4,-,-,1,2,-,-,14
QazGs022,Allen G.,3,2,3,25:58,1,3,-,-,-,1,1,1,8
AwyjjVhD,Hill G.,2,-,1,13:57,-,-,-,-,-,-,2,2,-
UHxoXVDn,Antetokounmpo T.,-,-,-,2:14,-,-,-,-,-,-,-,-,-6
4lDO4eDQ,Beauchamp M.,-,1,-,2:14,-,-,-,-,-,-,-,-,-6
tb1di5Bj,Connaughton P.,-,4,-,19:41,-,3,-,-,-,2,-,-,-1
bmeRaF3g,Dragic G.,-,-,-,4:42,-,1,-,-,-,-,-,-,-6
4htqnmXq,Johnson J.,-,-,-,5:58,-,-,-,-,-,-,-,-,2
