ID,Name,Link,Stat1,Stat2,Stat3,Stat4,Stat5,Stat6,Stat7,Stat8,Stat9,Stat10,Stat11,Stat12,Stat13,Stat14
vHiEJyM1,Mekowulu C.,25,9,2,31:59,-,-,7,7,2,5,5,5,12
bRcAHgYl,Dubljevic B.,15,3,2,26:31,-,-,3,3,2,6,3,4,-7
UXxqdX2I,Claver V.,14,7,-,21:55,-,-,-,2,4,4,2,2,-1
AmMmMK2K,Jones C.,14,2,2,18:44,-,-,3,5,2,5,2,4,-9
2uj8hHs3,Ponitka M.,12,2,4,26:21,-,-,3,4,2,4,-,-,13
SCQuNlVa,Yusta S.,11,2,3,18:39,-,-,1,5,3,4,-,-,-2
0hZdKSFe,Wright C.,10,2,5,26:44,-,-,4,6,-,-,2,3,8
C0BJHQoc,Jessup J.,8,2,-,21:21,-,-,2,4,1,4,1,1,13
WMpeWGLn,Puerto J.,7,1,1,15:19,-,-,2,4,1,4,-,-,1
z9GuqbNq,Simanic B.,7,2,-,09:21,-,-,2,2,1,3,-,-,-
pxskGqk1,Jovic S.,6,2,5,26:34,-,-,2,4,-,1,2,2,3
SCxneVDU,Rivero J.,6,4,1,19:24,-,-,2,4,-,1,2,5,-7
Yy0lDJQe,Hlinason T.,5,7,-,22:14,-,-,2,3,-,-,1,3,3
biaghFhs,Lopez-Arostegui X.,5,4,1,19:41,-,-,-,2,1,5,2,2,-10
AgyMxQAL,Evans S.,4,1,2,14:34,-,-,2,2,-,1,-,-,-10
r3RCui8s,Pradilla J.,4,-,-,07:41,-,-,2,3,-,1,-,1,-2
nkt2awug,Radebaugh J.,4,4,-,22:18,-,-,1,1,-,3,2,2,-5
KfL2tLO9,Hermannsson M.,2,2,6,19:03,-,-,1,4,-,2,-,-,-1
4fxx5rTI,Mara A.,2,6,2,16:26,-,-,1,4,-,-,-,2,7
W0aDw0lJ,Sant-Roos H.,-,-,-,00:21,-,-,-,-,-,-,-,-,-2
GOkYUYSc,Webb J. III,-,3,1,14:50,-,-,-,1,-,3,-,-,-4
