Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away
1674930600;28.01.2023-19:30;Real Valladolid;Palencia;10;22;14;30;;14;21;19;16;
1674928800;28.01.2023-19:00;Gipuzkoa;Ourense;25;22;18;23;;30;19;16;24;
1674925200;28.01.2023-18:00;MoraBanc Andorra;Castello;31;12;20;21;;18;19;15;20;
1674849600;27.01.2023-21:00;Leyma Coruna;Iraurgi SB;18;25;14;21;;20;17;11;25;
1674848700;27.01.2023-20:45;Alicante;Estela;23;13;25;17;;29;16;12;20;
1674847800;27.01.2023-20:30;Melilla;San Pablo Burgos;19;10;17;21;;24;19;22;23;
1674846900;27.01.2023-20:15;Oviedo;Albacete;27;13;11;12;;13;17;19;8;
1674325800;21.01.2023-19:30;Real Valladolid;Caceres;17;25;8;23;11;22;13;19;19;5
1674324000;21.01.2023-19:00;Alicante;Castello;18;13;17;26;;15;26;14;15;
1674324000;21.01.2023-19:00;Oviedo;Estela;22;11;22;7;;18;14;18;19;
1674244800;20.01.2023-21:00;Almansa;Albacete;18;15;16;25;11;15;18;18;23;5
1674244800;20.01.2023-21:00;Estudiantes;Iraurgi SB;15;14;25;21;;5;16;20;14;
1674244800;20.01.2023-21:00;Forca Lleida;Ourense;20;20;25;19;;21;12;12;18;
1674244800;20.01.2023-21:00;Leyma Coruna;San Pablo Burgos;16;20;21;38;;22;27;14;18;
1674244800;20.01.2023-21:00;Melilla;Palencia;25;13;10;30;;26;22;21;20;
1674244800;20.01.2023-21:00;MoraBanc Andorra;Gipuzkoa;15;20;18;19;;25;13;12;17;
1673802000;15.01.2023-18:00;Gipuzkoa;Alicante;24;20;17;16;;13;19;17;18;
1673722800;14.01.2023-20:00;San Pablo Burgos;Estudiantes;20;18;25;15;;26;21;17;22;
1673721000;14.01.2023-19:30;Albacete;Real Valladolid;15;15;7;24;;15;20;19;14;
1673719200;14.01.2023-19:00;Ourense;MoraBanc Andorra;14;18;11;19;;17;16;21;18;
1673717400;14.01.2023-18:30;Estela;Almansa;17;18;19;17;;17;11;24;16;
1673640000;13.01.2023-21:00;Iraurgi SB;Forca Lleida;20;19;21;20;;16;15;27;16;
1673640000;13.01.2023-21:00;Palencia;Leyma Coruna;16;23;24;26;;19;29;15;19;
1673639100;13.01.2023-20:45;Caceres;Melilla;19;28;20;25;;16;26;22;21;
1673639100;13.01.2023-20:45;Castello;Oviedo;13;18;20;24;;10;21;16;24;
1673200800;08.01.2023-19:00;Estudiantes;Palencia;24;13;13;23;;18;16;28;21;
1673177400;08.01.2023-12:30;Forca Lleida;San Pablo Burgos;27;14;20;24;;15;32;18;14;
1673177400;08.01.2023-12:30;Leyma Coruna;Caceres;26;13;32;24;;21;21;15;30;
1673177400;08.01.2023-12:30;Melilla;Albacete;18;15;18;10;;12;23;13;22;
1673118000;07.01.2023-20:00;Real Valladolid;Estela;14;15;16;22;;14;20;10;16;
1673114400;07.01.2023-19:00;Alicante;MoraBanc Andorra;19;21;15;18;;16;15;20;15;
1673114400;07.01.2023-19:00;Ourense;Iraurgi SB;22;14;28;23;;14;16;20;22;
1673112600;07.01.2023-18:30;Oviedo;Gipuzkoa;17;14;27;13;;21;19;25;21;
1673110800;07.01.2023-18:00;Almansa;Castello;22;19;21;20;;16;18;20;23;
1703966400;30.12.2023-21:00;Palencia;Forca Lleida;24;14;18;29;;13;17;20;21;
1703879100;29.12.2023-20:45;San Pablo Burgos;Iraurgi SB;23;21;20;21;;14;15;14;16;
1703876400;29.12.2023-20:00;MoraBanc Andorra;Oviedo;22;15;24;18;;24;15;11;10;
1703792700;28.12.2023-20:45;Alicante;Ourense;20;22;14;15;11;20;12;20;19;5
1703791800;28.12.2023-20:30;Estela;Melilla;15;15;21;19;11;17;16;20;17;5
