Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away
1679850000;26.03.2023-19:00;Clavijo;Navarra;18;30;14;22;;14;15;25;20;
1679846400;26.03.2023-18:00;Benicarlo;Salou;22;22;11;18;;11;23;22;6;
1679846400;26.03.2023-18:00;Fibwi Palma;Cartagena;14;17;17;20;;18;12;15;22;
1679824800;26.03.2023-12:00;Baskonia B;Algeciras;17;20;17;27;;25;22;30;13;
1679772600;25.03.2023-20:30;Gran Canaria B;Sant Antoni;20;19;16;17;;19;21;26;26;
1679771700;25.03.2023-20:15;Huesca;Basquet L'Horta Godella;30;17;32;18;;24;27;16;34;
1679769000;25.03.2023-19:30;L'Hospitalet;Alginet;32;25;19;25;;27;16;25;27;
1679769000;25.03.2023-19:30;Real Canoe;Zornotza ST;9;21;13;16;;27;15;18;15;
1679767200;25.03.2023-19:00;La Roda;Moron;18;19;24;13;;29;18;27;22;
1679767200;25.03.2023-19:00;Mollet;Vive Menorca;20;29;16;13;;28;22;25;22;
1679767200;25.03.2023-19:00;Tormes;Zamora;14;28;17;11;;22;21;19;18;
1679764500;25.03.2023-18:15;Prat Joventut;Cornella;31;18;29;23;;22;12;25;12;
1679763600;25.03.2023-18:00;Talavera;Ponferrada;14;34;13;21;;24;16;24;22;
1679763600;25.03.2023-18:00;Tizona Burgos;Enrique Soler;22;18;17;19;;13;11;19;21;
1679246100;19.03.2023-18:15;Salou;Prat Joventut;22;16;19;16;;25;24;21;17;
1679223600;19.03.2023-12:00;Algeciras;La Roda;21;24;14;22;;12;16;24;23;
1679223600;19.03.2023-12:00;Cartagena;Benicarlo;15;12;4;10;;13;15;7;25;
1679166000;18.03.2023-20:00;Navarra;Tormes;25;19;26;18;;26;28;16;24;
1679164200;18.03.2023-19:30;Alginet;Fibwi Palma;18;28;27;25;;26;37;17;22;
1679164200;18.03.2023-19:30;Enrique Soler;Moron;20;21;23;19;;20;15;11;21;
1679164200;18.03.2023-19:30;Sant Antoni;Cornella;8;26;27;25;;24;16;23;13;
1679164200;18.03.2023-19:30;Vive Menorca;L'Hospitalet;26;18;20;17;;25;15;16;14;
1679162400;18.03.2023-19:00;Tizona Burgos;Real Canoe;30;26;19;17;;12;24;18;25;
1679160600;18.03.2023-18:30;Ponferrada;Clavijo;27;13;21;14;30;14;21;16;24;29
1679160600;18.03.2023-18:30;Zornotza ST;Talavera;27;11;15;21;;24;16;11;18;
1679157000;18.03.2023-17:30;Basquet L'Horta Godella;Mollet;29;20;28;26;;16;18;15;11;
1679155200;18.03.2023-17:00;Zamora;Baskonia B;30;19;24;22;;15;23;24;31;
1679139000;18.03.2023-12:30;Gran Canaria B;Huesca;16;31;17;16;;22;10;21;18;
1678644000;12.03.2023-19:00;Clavijo;Zornotza ST;17;17;30;20;;17;20;20;22;
1678640400;12.03.2023-18:00;Fibwi Palma;Vive Menorca;19;11;16;20;;12;21;21;20;
1678618800;12.03.2023-12:00;Baskonia B;Navarra;28;15;13;17;;11;23;19;12;
1678618800;12.03.2023-12:00;Benicarlo;Alginet;21;26;16;26;;21;20;23;19;
1678618800;12.03.2023-12:00;Mollet;Gran Canaria B;16;19;26;6;;23;22;25;12;
1678563900;11.03.2023-20:45;Talavera;Tizona Burgos;9;26;16;17;30;17;16;16;19;29
1678562100;11.03.2023-20:15;Huesca;Sant Antoni;7;20;20;14;;19;21;22;18;
1678559400;11.03.2023-19:30;L'Hospitalet;Basquet L'Horta Godella;21;6;15;19;;18;21;17;17;
1678559400;11.03.2023-19:30;Real Canoe;Enrique Soler;15;16;13;34;;22;12;18;16;
1678557600;11.03.2023-19:00;Cornella;Salou;16;22;15;24;;17;18;21;16;
1678557600;11.03.2023-19:00;La Roda;Zamora;18;13;22;19;;20;13;20;14;
1678557600;11.03.2023-19:00;Tormes;Ponferrada;26;15;23;17;;21;22;23;20;
1678554900;11.03.2023-18:15;Prat Joventut;Cartagena;18;10;19;22;;7;18;19;20;
1678554000;11.03.2023-18:00;Moron;Algeciras;25;20;20;28;;15;26;24;23;
1678037400;05.03.2023-18:30;Alginet;Prat Joventut;16;20;21;16;;32;24;21;27;
