Event Time UTC,Event Time,Home Team,Away Team,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Overtime Home,1st Quarter Away,2nd Quarter Away,3rd Quarter Away,4th Quarter Away,Overtime Away
1679529600,23.03.2023-01:00,Chicago Bulls,Philadelphia 76ers,23,25,28,15,,36,40,20,20,
1679529600,23.03.2023-01:00,Memphis Grizzlies,Houston Rockets,37,38,26,29,,34,30,32,29,
1679529600,23.03.2023-01:00,Milwaukee Bucks,San Antonio Spurs,33,33,34,30,,28,23,21,22,
1679529600,23.03.2023-01:00,Minnesota Timberwolves,Atlanta Hawks,39,28,27,31,,40,22,35,27,
1679527800,23.03.2023-00:30,Dallas Mavericks,Golden State Warriors,33,30,30,32,,30,35,31,31,
1679527800,23.03.2023-00:30,Miami Heat,New York Knicks,31,33,28,35,,32,29,25,34,
1679527800,23.03.2023-00:30,Toronto Raptors,Indiana Pacers,26,26,26,36,,36,22,25,35,
1679526000,23.03.2023-00:00,Washington Wizards,Denver Nuggets,29,28,16,31,,31,24,39,24,
1679452200,22.03.2023-03:30,Los Angeles Clippers,Oklahoma City Thunder,22,29,30,19,,23,33,24,21,
1679450400,22.03.2023-03:00,Sacramento Kings,Boston Celtics,32,22,31,24,,30,30,40,32,
1679443200,22.03.2023-01:00,New Orleans Pelicans,San Antonio Spurs,27,37,27,28,,16,23,26,19,
1679441400,22.03.2023-00:30,Atlanta Hawks,Detroit Pistons,38,28,33,30,,32,27,19,29,
1679441400,22.03.2023-00:30,Brooklyn Nets,Cleveland Cavaliers,30,25,23,31,,23,38,33,21,
1679439600,22.03.2023-00:00,Orlando Magic,Washington Wizards,26,34,27,35,,25,31,32,24,
1679360400,21.03.2023-02:00,Utah Jazz,Sacramento Kings,40,28,27,33,,19,33,43,25,
1679356800,21.03.2023-01:00,Houston Rockets,Golden State Warriors,21,29,30,28,,26,29,29,37,
1679356800,21.03.2023-01:00,Memphis Grizzlies,Dallas Mavericks,30,27,26,29,,28,32,36,12,
1679355000,21.03.2023-00:30,New York Knicks,Minnesota Timberwolves,32,38,38,26,,42,37,30,31,
1679353200,21.03.2023-00:00,Charlotte Hornets,Indiana Pacers,22,36,27,30,,40,26,22,21,
1679353200,21.03.2023-00:00,Philadelphia 76ers,Chicago Bulls,22,18,28,23,14,17,27,25,22,18
1679275800,20.03.2023-02:30,Los Angeles Lakers,Orlando Magic,28,31,25,27,,25,24,32,24,
1679274000,20.03.2023-02:00,Portland Trail Blazers,Los Angeles Clippers,30,25,28,19,,36,23,34,24,
1679270400,20.03.2023-01:00,Milwaukee Bucks,Toronto Raptors,33,25,31,29,,29,27,39,16,
1679266800,20.03.2023-00:00,Houston Rockets,New Orleans Pelicans,28,16,34,29,,38,26,28,25,
1679263200,19.03.2023-23:00,Detroit Pistons,Miami Heat,29,18,34,19,,26,26,22,38,
1679256000,19.03.2023-21:00,San Antonio Spurs,Atlanta Hawks,34,27,39,26,,40,43,20,15,
1679254200,19.03.2023-20:30,Brooklyn Nets,Denver Nuggets,21,27,23,31,,33,30,28,17,
1679254200,19.03.2023-20:30,Oklahoma City Thunder,Phoenix Suns,25,32,33,34,,31,38,27,24,
1679187600,19.03.2023-02:00,Utah Jazz,Boston Celtics,24,33,31,30,,34,30,27,26,
1679184000,19.03.2023-01:00,Chicago Bulls,Miami Heat,33,37,20,23,,19,26,32,22,
1679184000,19.03.2023-01:00,Memphis Grizzlies,Golden State Warriors,33,38,33,29,,23,36,41,19,
1679184000,19.03.2023-01:00,Washington Wizards,Sacramento Kings,33,27,32,26,,37,34,33,28,
1679180400,19.03.2023-00:00,Indiana Pacers,Philadelphia 76ers,24,37,34,26,,34,38,34,35,
1679180400,19.03.2023-00:00,Toronto Raptors,Minnesota Timberwolves,32,34,28,28,,26,32,27,22,
1679166000,18.03.2023-20:00,Los Angeles Clippers,Orlando Magic,30,25,27,26,,31,26,17,39,
1679158800,18.03.2023-18:00,New York Knicks,Denver Nuggets,36,26,29,25,,28,39,24,19,
1679107200,18.03.2023-03:40,Los Angeles Lakers,Dallas Mavericks,33,21,26,30,,29,33,27,22,
1679105400,18.03.2023-03:10,Portland Trail Blazers,Boston Celtics,24,24,22,42,,32,31,26,37,
1679097600,18.03.2023-01:00,Chicago Bulls,Minnesota Timberwolves,28,26,26,33,14,32,27,31,23,18
1679097600,18.03.2023-01:00,Houston Rockets,New Orleans Pelicans,31,18,31,34,,26,28,36,22,
1679097600,18.03.2023-01:00,San Antonio Spurs,Memphis Grizzlies,35,34,24,16,14,26,20,35,28,18
1679095800,18.03.2023-00:30,Atlanta Hawks,Golden State Warriors,39,32,33,23,,31,35,30,23,
1679095800,18.03.2023-00:30,Cleveland Cavaliers,Washington Wizards,31,30,23,33,,24,20,30,20,
1679094000,18.03.2023-00:00,Charlotte Hornets,Philadelphia 76ers,29,25,13,15,,31,35,26,29,
1679018400,17.03.2023-03:00,Phoenix Suns,Orlando Magic,30,33,31,22,,31,27,27,28,
1679011200,17.03.2023-01:00,Milwaukee Bucks,Indiana Pacers,40,24,37,22,,30,25,49,35,
1679009400,17.03.2023-00:30,Brooklyn Nets,Sacramento Kings,24,17,30,25,,24,30,28,19,
1679009400,17.03.2023-00:30,Toronto Raptors,Oklahoma City Thunder,29,35,29,35,,28,31,28,24,
1679007600,17.03.2023-00:00,Detroit Pistons,Denver Nuggets,28,36,22,14,,29,29,28,33,
1678932000,16.03.2023-03:00,Los Angeles Clippers,Golden State Warriors,28,33,38,35,,23,35,35,33,
1678926600,16.03.2023-01:30,San Antonio Spurs,Dallas Mavericks,29,33,32,27,14,28,32,28,33,18
