Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away;MatchId
1675530000;04.02.2023-18:00;Baskonia B;Real Canoe;33;8;24;27;;20;21;21;12;;g_3_rXgzbqf2
1675530000;04.02.2023-18:00;Moron;Zornotza ST;20;20;23;8;;22;24;24;29;;g_3_fL0LLnn9
1674410400;22.01.2023-19:00;Clavijo;Tormes;14;15;10;27;;15;16;16;16;;g_3_8E1N0oAq
1674406800;22.01.2023-18:00;Salou;Basquet L'Horta Godella;19;27;23;15;;16;19;9;25;;g_3_v9npFbyU
1674330300;21.01.2023-20:45;Talavera;Baskonia B;18;19;12;28;;18;26;21;19;;g_3_jZEe5R1S
1674329400;21.01.2023-20:30;Gran Canaria B;Cornella;20;22;14;24;;19;21;22;24;;g_3_tIYBAIqo
1674328500;21.01.2023-20:15;Huesca;Prat Joventut;14;18;18;23;;23;18;28;30;;g_3_UXRgZ1Mo
1674327600;21.01.2023-20:00;Real Canoe;La Roda;22;16;22;25;;26;21;27;28;;g_3_xWAi67nM
1674325800;21.01.2023-19:30;Sant Antoni;Alginet;21;35;18;22;;21;29;21;21;;g_3_bavxHK6H
1674325800;21.01.2023-19:30;Vive Menorca;Cartagena;20;16;16;17;;12;14;17;12;;g_3_dpcuGvMN
1674324000;21.01.2023-19:00;Enrique Soler;Navarra;30;24;15;14;;19;20;25;11;;g_3_UaOzAkmc
1674324000;21.01.2023-19:00;Mollet;Benicarlo;26;14;13;18;;26;21;18;15;;g_3_8OQcYLyh
1674324000;21.01.2023-19:00;Tizona Burgos;Moron;34;24;27;28;;16;11;21;16;;g_3_f7Ln7mXF
1674322200;21.01.2023-18:30;Ponferrada;Zamora;11;11;23;25;;21;21;21;13;;g_3_8jNv9923
1674322200;21.01.2023-18:30;Zornotza ST;Algeciras;24;25;11;17;;23;13;23;9;;g_3_GGMr8TH9
1674320400;21.01.2023-18:00;L'Hospitalet;Fibwi Palma;27;17;19;22;;29;23;21;19;;g_3_jmG2Xuib
