3,Bropleh T.,xhs6kDGa
14,Diaz Rodriguez C.,4lhXmFaQ
2,Moore M.,CKUVUGOF
7,Niang M.,WE28ilij
12,Renfroe A.,OKNYuHS0
10,Colom Q.,lxGLvWwM
29,Garino P.,UmP5mMVq
33,Gasol M.,AVMsbgY5
11,Miletic D.,Ee7KaSGO
5,Taylor K.,lf5GoNYu
24,Caicedo M.,nDvPlvnc
15,Costa Martinez L.,48H9BkX9
50,Diaz J.,EyPgXmOE
21,Iriarte D.,G0auab9G
35,Ndoye Y.,4UHKIgtJ
19,Tomas P.,8MEWqtDg
13,Vila R.,fcAM8mHS
7,Figueras P.,b7mURXx7
2,Fjellerup M.,ARjbtzC3
28,Hanzlik O.,MguO5p8E
23,Hill J.,EeZh4gkf
8,Prkacin R.,nT5p0N57
35,Sorolla Menasanch J.,EVrsm6Qd
4,Vila Martinez E.,EuneP2Yk
,Pin P.,rsaiEovD
,Reneses G.,8l3WdNZI
