Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away;MatchId
1680116400;29.03.2023-21:00;Tenerife;Manresa;28;23;17;32;;28;31;8;20;;g_3_CbOSqht1
1679853600;26.03.2023-20:00;Basket Zaragoza;Valencia;24;14;20;28;;22;14;19;20;;g_3_WvcHGQjQ
1679848200;26.03.2023-18:30;Fuenlabrada;Real Madrid;13;18;26;21;;29;21;32;20;;g_3_OEcDH6yK
1679842800;26.03.2023-17:00;Baskonia;Bilbao;24;27;27;22;;17;10;25;26;;g_3_Cb0MeAdA
1679828400;26.03.2023-13:00;Tenerife;Gran Canaria;19;14;26;22;;11;20;20;26;;g_3_UZAHdjs4
1679826600;26.03.2023-12:30;Real Betis;Unicaja;20;10;20;16;;25;15;18;21;;g_3_WlhEcWRc
1679773500;25.03.2023-20:45;Barcelona;Joventut Badalona;18;21;28;20;;13;17;21;20;;g_3_byf6ahco
1679773500;25.03.2023-20:45;Granada;Murcia;26;23;25;14;;16;17;22;12;;g_3_xShAbCCi
1679763600;25.03.2023-18:00;Basquet Girona;Manresa;12;21;21;25;;12;27;27;20;;g_3_IsxbetoU
1679763600;25.03.2023-18:00;Obradoiro CAB;Breogan;17;24;10;16;;14;19;22;19;;g_3_KjOPj0go
1679247000;19.03.2023-18:30;Real Madrid;Baskonia;27;18;24;19;;15;24;31;25;;g_3_OKxfdMVN
1679245200;19.03.2023-18:00;Valencia;Granada;20;18;24;18;;18;16;18;20;;g_3_pOb9InMD
1679241600;19.03.2023-17:00;Unicaja;Barcelona;24;15;18;24;;16;19;26;25;;g_3_tjYS9fID
1679225400;19.03.2023-12:30;Bilbao;Basquet Girona;19;23;19;23;;16;21;18;22;;g_3_Shqobr1B
1679225400;19.03.2023-12:30;Breogan;Basket Zaragoza;20;19;21;11;;28;21;24;14;;g_3_AHYkc2GH
1679171400;18.03.2023-21:30;Gran Canaria;Murcia;27;30;18;32;;27;10;23;29;;g_3_l2psaOo5
1679168700;18.03.2023-20:45;Joventut Badalona;Fuenlabrada;29;18;30;26;;25;13;22;26;;g_3_txow04Wb
1679158800;18.03.2023-18:00;Manresa;Real Betis;19;29;26;17;;17;19;33;15;;g_3_2onZ0pHh
1679158800;18.03.2023-18:00;Obradoiro CAB;Tenerife;11;10;14;23;;22;13;19;24;;g_3_KMdU1Q1n
1678647600;12.03.2023-20:00;Fuenlabrada;Breogan;16;23;18;16;;24;14;37;17;;g_3_6JhQ26nt
1678642200;12.03.2023-18:30;Barcelona;Manresa;32;24;21;16;;18;11;20;23;;g_3_SnUOAz37
1678636800;12.03.2023-17:00;Real Betis;Baskonia;26;14;18;13;;23;26;14;20;;g_3_YPUKBGm1
1678620600;12.03.2023-12:30;Basquet Girona;Valencia;19;13;20;23;;26;20;9;24;;g_3_fstJf9fJ
1678620600;12.03.2023-12:30;Murcia;Unicaja;26;18;23;18;;19;14;23;24;;g_3_Q1l2bief
1678620600;12.03.2023-12:30;Real Madrid;Bilbao;11;27;26;22;;15;13;13;24;;g_3_GjsFekuD
1678563900;11.03.2023-20:45;Basket Zaragoza;Obradoiro CAB;13;12;16;37;;16;13;28;22;;g_3_KOm6cBA0
1678563900;11.03.2023-20:45;Tenerife;Joventut Badalona;16;20;26;23;;12;9;23;24;;g_3_bFnAdVP6
1678554000;11.03.2023-18:00;Granada;Gran Canaria;19;20;21;20;;13;7;20;26;;g_3_ERpbaXul
1678042800;05.03.2023-20:00;Baskonia;Granada;22;34;23;26;;19;20;24;18;;g_3_fZVGCdYf
1678037400;05.03.2023-18:30;Valencia;Tenerife;19;16;22;20;;24;20;8;20;;g_3_xbyCDxJl
1678032000;05.03.2023-17:00;Obradoiro CAB;Real Madrid;14;16;27;21;;24;20;22;18;;g_3_b7x8EI3r
1678017600;05.03.2023-13:00;Gran Canaria;Bilbao;29;16;26;23;;14;23;19;15;;g_3_W2eg0DQs
1678015800;05.03.2023-12:30;Joventut Badalona;Murcia;20;19;27;28;;17;19;14;18;;g_3_Ug9R4gIQ
1677959100;04.03.2023-20:45;Basket Zaragoza;Barcelona;19;27;23;16;;12;12;30;29;;g_3_MT5J6FmE
1677959100;04.03.2023-20:45;Breogan;Real Betis;22;25;22;23;22;22;20;27;23;23;g_3_0K4N5Z2K
1677949200;04.03.2023-18:00;Manresa;Fuenlabrada;23;27;14;28;;18;18;14;28;;g_3_KORzrWAD
1677949200;04.03.2023-18:00;Unicaja;Basquet Girona;22;19;31;22;;16;19;18;17;;g_3_6LNWrCe7
1676228400;12.02.2023-20:00;Unicaja;Baskonia;16;23;19;20;22;15;15;21;27;23;g_3_Y7POpYQf
1676223000;12.02.2023-18:30;Murcia;Real Madrid;20;12;23;25;;20;20;31;17;;g_3_6ogSoEBl
1676217600;12.02.2023-17:00;Valencia;Gran Canaria;16;23;17;26;;22;18;19;17;;g_3_tSktJbeR
1676201400;12.02.2023-12:30;Barcelona;Breogan;20;15;23;24;;12;12;13;17;;g_3_SffOnfdr
1676144700;11.02.2023-20:45;Basquet Girona;Obradoiro CAB;18;26;24;25;;21;18;18;19;;g_3_dC3hhGYK
1676144700;11.02.2023-20:45;Real Betis;Joventut Badalona;15;17;21;14;;19;12;22;18;;g_3_AF7dizlR
1676134800;11.02.2023-18:00;Bilbao;Granada;20;22;22;26;;18;16;21;18;;g_3_zcFqfx48
1676134800;11.02.2023-18:00;Fuenlabrada;Basket Zaragoza;20;13;22;16;;31;21;22;11;;g_3_EmEmgdJE
1675623600;05.02.2023-20:00;Granada;Fuenlabrada;26;23;17;17;;21;11;24;15;;g_3_nsM1VhR7
1675618200;05.02.2023-18:30;Real Madrid;Tenerife;28;22;20;18;;20;16;23;18;;g_3_UinxKvtL
1675612800;05.02.2023-17:00;Baskonia;Basket Zaragoza;16;23;30;22;;23;9;22;25;;g_3_nTdXKKQE
1675596600;05.02.2023-12:30;Barcelona;Valencia;14;18;25;24;;24;19;16;16;;g_3_QRXhXEde
