Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away
1673120700;07.01.2023-20:45;Barcelona;Real Betis;29;25;22;28;;21;15;16;18;
1673120700;07.01.2023-20:45;Joventut Badalona;Granada;21;20;33;16;;13;24;16;19;
1673110800;07.01.2023-18:00;Breogan;Obradoiro CAB;14;18;17;15;;9;14;17;19;
1673110800;07.01.2023-18:00;Fuenlabrada;Basquet Girona;12;23;21;19;;21;19;28;15;
1673004600;06.01.2023-12:30;Murcia;Tenerife;13;16;29;27;;18;12;19;15;
1672864200;04.01.2023-21:30;Unicaja;Bilbao;23;19;28;22;;20;21;15;23;
1672860600;04.01.2023-20:30;Obradoiro CAB;Manresa;21;21;28;21;22;19;30;23;19;23
1672855200;04.01.2023-19:00;Basket Zaragoza;Breogan;20;23;19;17;22;25;18;22;14;23
1672777800;03.01.2023-21:30;Granada;Baskonia;20;18;20;26;;25;16;30;24;
1672774200;03.01.2023-20:30;Basquet Girona;Joventut Badalona;19;22;18;20;;17;11;15;23;
1672771500;03.01.2023-19:45;Real Betis;Gran Canaria;26;24;16;22;;24;23;15;20;
1672768800;03.01.2023-19:00;Valencia;Fuenlabrada;18;22;26;26;;13;23;17;33;
1672689600;02.01.2023-21:00;Real Madrid;Barcelona;26;18;13;21;;28;14;20;25;
1703966400;30.12.2023-21:00;Manresa;Basquet Girona;14;22;27;19;;23;8;22;26;
1703957400;30.12.2023-18:30;Fuenlabrada;Obradoiro CAB;8;25;21;25;;18;21;22;21;
1703881800;29.12.2023-21:30;Tenerife;Granada;35;17;24;22;;17;18;12;19;
1703878200;29.12.2023-20:30;Joventut Badalona;Real Betis;26;26;20;21;;16;18;25;22;
1703795400;28.12.2023-21:30;Unicaja;Murcia;21;15;24;22;;20;17;11;18;
1703786400;28.12.2023-19:00;Barcelona;Basket Zaragoza;14;24;20;10;;17;19;10;17;
