Failed Row,Error Message
https://www.flashscore.com/basketball/kosovo/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/kosovo/' for key 'urls.urls'
https://www.flashscore.com/basketball/iran/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/iran/' for key 'urls.urls'
https://www.flashscore.com/basketball/canada/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/canada/' for key 'urls.urls'
https://www.flashscore.com/basketball/greece/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/greece/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/olympic-games/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/olympic-games/' for key 'urls.urls'
https://www.flashscore.com/basketball/latvia/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/latvia/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/pan-american-games/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/pan-american-games/' for key 'urls.urls'
https://www.flashscore.com/basketball/france/lnb/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/france/lnb/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/olympic-games-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/olympic-games-3x3/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-lausanne-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-lausanne-' for key 'urls.urls'
https://www.flashscore.com/basketball/world/americas-championship-u18-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/americas-championshi' for key 'urls.urls'
https://www.flashscore.com/basketball/paraguay/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/paraguay/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/intercontinental-cup/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/intercontinental-cup' for key 'urls.urls'
https://www.flashscore.com/basketball/cyprus/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/cyprus/' for key 'urls.urls'
https://www.flashscore.com/basketball/dominican-republic/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/dominican-republic/' for key 'urls.urls'
https://www.flashscore.com/basketball/austria/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/austria/' for key 'urls.urls'
https://www.flashscore.com/basketball/estonia/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/estonia/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/mediterranean-games-3x3-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/mediterranean-games-' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-abu-dhabi3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-abu-dhabi' for key 'urls.urls'
