Stat,Home,Away,MatchId,Quarter
+3,3,0,-,CbOSqht1,0
+1,3,2,-,CbOSqht1,0
-,3,5,+2,CbOSqht1,0
+1,6,5,-,CbOSqht1,0
-,6,7,+1,CbOSqht1,0
-,6,9,+3,CbOSqht1,0
-,9,9,-,CbOSqht1,0
+2,11,9,-,CbOSqht1,0
+1,11,10,-,CbOSqht1,0
-,11,11,-,CbOSqht1,0
+2,13,11,-,CbOSqht1,0
-,13,13,-,CbOSqht1,0
+2,15,13,-,CbOSqht1,0
+3,16,13,-,CbOSqht1,0
+6,19,13,-,CbOSqht1,0
+3,19,16,-,CbOSqht1,0
+1,19,18,-,CbOSqht1,0
-,19,20,+1,CbOSqht1,0
+1,21,20,-,CbOSqht1,0
+3,23,20,-,CbOSqht1,0
+4,24,20,-,CbOSqht1,0
+5,25,20,-,CbOSqht1,0
+2,25,23,-,CbOSqht1,0
-,25,26,+1,CbOSqht1,0
+1,27,26,-,CbOSqht1,0
+2,28,26,-,CbOSqht1,0
+1,28,27,-,CbOSqht1,0
-,28,28,-,CbOSqht1,0
