Stat,Home,Away,MatchId,Quarter
-,54,59,+5,CbOSqht1,2
-,55,59,+4,CbOSqht1,2
-,56,59,+3,CbOSqht1,2
-,58,59,+1,CbOSqht1,2
+1,60,59,-,CbOSqht1,2
+3,62,59,-,CbOSqht1,2
+2,62,60,-,CbOSqht1,2
-,62,63,+1,CbOSqht1,2
-,63,63,-,CbOSqht1,2
+1,64,63,-,CbOSqht1,2
-,64,65,+1,CbOSqht1,2
-,65,65,-,CbOSqht1,2
+1,66,65,-,CbOSqht1,2
-,66,67,+1,CbOSqht1,2
+1,68,67,-,CbOSqht1,2
