Match,Scores,Game_Id,Quarter
1,24/24,p82pHHOm,1
2,25/24,p82pHHOm,1
3,27/24,p82pHHOm,1
4,27/27,p82pHHOm,1
5,29/27,p82pHHOm,1
6,31/27,p82pHHOm,1
7,32/27,p82pHHOm,1
8,35/27,p82pHHOm,1
9,35/30,p82pHHOm,1
10,37/30,p82pHHOm,1
11,39/30,p82pHHOm,1
12,39/31,p82pHHOm,1
13,39/32,p82pHHOm,1
14,40/32,p82pHHOm,1
15,40/35,p82pHHOm,1
16,42/35,p82pHHOm,1
17,44/35,p82pHHOm,1
18,44/37,p82pHHOm,1
19,46/37,p82pHHOm,1
20,47/37,p82pHHOm,1
21,47/38,p82pHHOm,1
22,47/39,p82pHHOm,1
23,47/41,p82pHHOm,1
24,49/41,p82pHHOm,1
25,49/43,p82pHHOm,1
