Match,Scores,Game_Id,Quarter
1,86/58,p82pHHOm,3
2,86/60,p82pHHOm,3
3,88/60,p82pHHOm,3
4,88/62,p82pHHOm,3
5,90/62,p82pHHOm,3
6,90/64,p82pHHOm,3
7,90/66,p82pHHOm,3
8,90/67,p82pHHOm,3
9,90/69,p82pHHOm,3
10,93/69,p82pHHOm,3
11,93/71,p82pHHOm,3
12,95/71,p82pHHOm,3
13,97/71,p82pHHOm,3
14,97/74,p82pHHOm,3
15,97/76,p82pHHOm,3
16,97/78,p82pHHOm,3
17,99/78,p82pHHOm,3
18,99/81,p82pHHOm,3
19,99/83,p82pHHOm,3
20,99/86,p82pHHOm,3
21,99/87,p82pHHOm,3
22,99/88,p82pHHOm,3
