Stat,Home,Away,MatchId,Quarter
-,28,30,+2,CbOSqht1,1
-,28,33,+5,CbOSqht1,1
-,29,33,+4,CbOSqht1,1
-,30,33,+3,CbOSqht1,1
-,30,35,+5,CbOSqht1,1
-,33,35,+2,CbOSqht1,1
-,35,35,-,CbOSqht1,1
+1,36,35,-,CbOSqht1,1
-,36,38,+2,CbOSqht1,1
-,37,38,+1,CbOSqht1,1
-,37,40,+3,CbOSqht1,1
-,37,42,+5,CbOSqht1,1
-,39,42,+3,CbOSqht1,1
-,42,42,-,CbOSqht1,1
-,42,44,+2,CbOSqht1,1
+1,45,44,-,CbOSqht1,1
-,45,47,+2,CbOSqht1,1
-,45,48,+3,CbOSqht1,1
-,45,49,+4,CbOSqht1,1
-,46,49,+3,CbOSqht1,1
-,47,49,+2,CbOSqht1,1
-,47,51,+4,CbOSqht1,1
-,47,53,+6,CbOSqht1,1
-,49,53,+4,CbOSqht1,1
-,49,56,+7,CbOSqht1,1
-,50,56,+6,CbOSqht1,1
-,51,56,+5,CbOSqht1,1
-,51,59,+8,CbOSqht1,1
