Match ID,Date,Home Team Logo,Away Team Logo,Time,Home Team,Away Team,Score Home,Score Away
g_3_rNfEEO2k,04.04. 21:00,/res/image/data/r3kESSA6-SUTWurBA.png,/res/image/data/GfheZine-jLQTbT6S.png,Gran Canaria,Joventut Badalona,-,-
g_3_j5mlA9B3,08.04. 18:00,/res/image/data/rXE2jtBN-MovB2LVJ.png,/res/image/data/pWLmh8kC-lxvU5pmN.png,Granada,Unicaja,-,-
g_3_Uenh9TQ9,08.04. 18:00,/res/image/data/lvVRgjT0-p2OAIs7K.png,/res/image/data/j9p2GT96-dEP3f9g0.png,Obradoiro CAB,Murcia,-,-
g_3_UFxhAOTg,08.04. 19:00,/res/image/data/8v0F1BjC-MovB2LVJ.png,/res/image/data/2edKw8Pq-QP7uW6sn.png,Breogan,Real Madrid,-,-
g_3_OIod8mtG,08.04. 20:45,/res/image/data/p2EAmqDN-AouQ6QXG.png,/res/image/data/r3kESSA6-SUTWurBA.png,Basket Zaragoza,Gran Canaria,-,-
g_3_xMk077eM,09.04. 12:30,/res/image/data/b1j2quSq-0xwF1uoQ.png,/res/image/data/OUSOIMme-OxV7gy0B.png,Basquet Girona,Fuenlabrada,-,-
g_3_Kpu56RAS,09.04. 12:30,/res/image/data/vmx6ysCN-dE91RSF2.png,/res/image/data/fX6sJejT-GMvGW4Jm.png,Real Betis,Tenerife,-,-
g_3_Oxxd9rq0,09.04. 17:00,/res/image/data/dImvc2lC-QP7uW6sn.png,/res/image/data/4E1IJGS0-0j46Ug6s.png,Bilbao,Barcelona,-,-
g_3_MgRW1oJq,09.04. 18:30,/res/image/data/GfheZine-jLQTbT6S.png,/res/image/data/juNjUlle-AouQ6QXG.png,Joventut Badalona,Valencia,-,-
g_3_jTVz15Yk,09.04. 20:00,/res/image/data/xGQhkdAN-r9W8XYus.png,/res/image/data/MJ0LRoXH-baetw7tK.png,Baskonia,Manresa,-,-
g_3_WO8NO8Qd,15.04. 18:00,/res/image/data/OUSOIMme-OxV7gy0B.png,/res/image/data/dImvc2lC-QP7uW6sn.png,Fuenlabrada,Bilbao,-,-
g_3_UJUv0Pmd,15.04. 18:00,/res/image/data/pWLmh8kC-lxvU5pmN.png,/res/image/data/lvVRgjT0-p2OAIs7K.png,Unicaja,Obradoiro CAB,-,-
g_3_xMBVMne9,15.04. 20:45,/res/image/data/r3kESSA6-SUTWurBA.png,/res/image/data/8v0F1BjC-MovB2LVJ.png,Gran Canaria,Breogan,-,-
g_3_raCRNSu3,15.04. 20:45,/res/image/data/GfheZine-jLQTbT6S.png,/res/image/data/b1j2quSq-0xwF1uoQ.png,Joventut Badalona,Basquet Girona,-,-
g_3_GCAZL6AF,16.04. 12:30,/res/image/data/j9p2GT96-dEP3f9g0.png,/res/image/data/p2EAmqDN-AouQ6QXG.png,Murcia,Basket Zaragoza,-,-
g_3_Ym5vLQPL,16.04. 13:00,/res/image/data/fX6sJejT-GMvGW4Jm.png,/res/image/data/xGQhkdAN-r9W8XYus.png,Tenerife,Baskonia,-,-
