EventTimeUTC;EventTimeUTC;homeTeam;awayTeam;matchId;Countries;Competitions
1684665000;21.05.2023-12:30;Unicaja;Tenerife;g_3_f1fR5lLA;spain;acb
1684866600;23.05.2023-20:30;Obradoiro CAB;Fuenlabrada;g_3_tW5sbcJ1;spain;acb
1684868400;23.05.2023-21:00;Bilbao;Unicaja;g_3_MBf66LBL;spain;acb
1684868400;23.05.2023-21:00;Tenerife;Basket Zaragoza;g_3_lYQ25uRR;spain;acb
1684953000;24.05.2023-20:30;Barcelona;Murcia;g_3_p4CYaJlk;spain;acb
1684953000;24.05.2023-20:30;Basquet Girona;Baskonia;g_3_lbdb8ss9;spain;acb
1684953000;24.05.2023-20:30;Granada;Joventut Badalona;g_3_rLe271dF;spain;acb
1684953000;24.05.2023-20:30;Manresa;Gran Canaria;g_3_zehf9NR2;spain;acb
1684953000;24.05.2023-20:30;Real Madrid;Real Betis;g_3_jsDU0aZr;spain;acb
1684953000;24.05.2023-20:30;Valencia;Breogan;g_3_b7Gxaw4e;spain;acb
