href,sql_query
https://www.flashscore.com/basketball/world/universiade-women/#/nsxmmiTo,"INSERT INTO urls (urls, isOpened) VALUES (%s, %s)"
https://www.flashscore.com/basketball/world/universiade-women/#/QXzinBrh,"INSERT INTO urls (urls, isOpened) VALUES (%s, %s)"
https://www.flashscore.com/basketball/world/universiade-women/#,"INSERT INTO urls (urls, isOpened) VALUES (%s, %s)"
https://www.flashscore.com/basketball/world/universiade-women/results/,"INSERT INTO urls (urls, isOpened) VALUES (%s, %s)"
https://www.flashscore.com/basketball/world/universiade-women/#/8dQeoVcb,"INSERT INTO urls (urls, isOpened) VALUES (%s, %s)"
https://www.flashscore.com/basketball/world/universiade-women/standings/,"INSERT INTO urls (urls, isOpened) VALUES (%s, %s)"
https://www.flashscore.com/basketball/world/universiade-women/fixtures/,"INSERT INTO urls (urls, isOpened) VALUES (%s, %s)"
https://www.flashscore.com/basketball/world/universiade-women/#/zyvLuzMI,"INSERT INTO urls (urls, isOpened) VALUES (%s, %s)"
https://www.flashscore.com/basketball/world/universiade-women/archive/,"INSERT INTO urls (urls, isOpened) VALUES (%s, %s)"
https://www.flashscore.com/basketball/world/universiade-women/#/C01lO7jo,"INSERT INTO urls (urls, isOpened) VALUES (%s, %s)"
