ID,Name,Link,Stat1,Stat2,Stat3,Stat4,Stat5,Stat6,Stat7,Stat8,Stat9,Stat10,Stat11,Stat12,Stat13,Stat14
lf5GoNYu,Taylor K.,20,5,1,27:42,-,-,2,3,4,5,4,5,28
KKbNFR6I,Jenkins J.,17,3,-,24:12,-,-,3,5,3,6,2,2,25
lxGLvWwM,Colom Q.,15,5,7,30:40,-,-,4,6,2,7,1,1,29
fRKrSe1O,Ngouama M.,14,3,1,29:42,-,-,4,7,2,7,-,1,-25
fH25hJ4r,Ali P.,12,3,1,22:11,-,-,1,3,2,8,4,5,-13
AVMsbgY5,Gasol M.,11,10,3,27:57,-,-,3,5,1,5,2,4,30
QPy2LG7A,Kromah L.,11,2,2,24:47,-,-,1,3,2,3,3,4,-20
4hQyEJe3,Eyenga C.,9,2,1,17:18,-,-,3,4,1,2,-,-,1
EuneP2Yk,Vila Martinez E.,7,6,-,17:12,-,-,3,6,-,1,1,1,23
UmP5mMVq,Garino P.,5,2,1,13:40,-,-,1,1,1,3,-,-,-1
YqLt8I4I,Samar M.,5,1,1,09:35,-,-,1,2,1,3,-,-,-
6DyHgZx6,Lewis M.,4,4,1,17:46,-,-,2,3,-,2,-,-,-12
Ee7KaSGO,Miletic D.,4,5,-,12:53,-,-,2,4,-,1,-,2,11
nT5p0N57,Prkacin R.,4,3,2,10:56,-,-,1,2,-,-,2,2,-10
b7mURXx7,Figueras P.,2,-,-,08:37,-,-,-,1,-,-,2,2,-4
EJkmWqEU,Garcia M.,2,3,-,13:50,-,-,-,1,-,4,2,2,-5
pxPf3AHb,Horton K.,2,4,2,30:20,-,-,1,2,-,4,-,-,-33
0Kqa683o,Fernandez J.,1,3,-,21:18,-,-,-,4,-,-,1,2,-11
jPWpG2Ju,Ehigiator O.,-,3,-,08:13,-,-,-,-,-,-,-,-,-5
ARjbtzC3,Fjellerup M.,-,2,1,06:54,-,-,-,1,-,-,-,-,-12
EeZh4gkf,Hill J.,-,2,1,06:06,-,-,-,-,-,1,-,-,10
84Hr3NSp,Okouo V.,-,1,-,01:25,-,-,-,2,-,-,-,-,-2
EVrsm6Qd,Sorolla Menasanch J.,-,2,-,09:36,-,-,-,-,-,-,-,-,-4
