Team ID,Team Name,Country,Competition,Season
real-madrid,MP6gLUO7,,,
,,real-madrid,MP6gLUO7,
barcelona,EDQLcAfL,,,
,,barcelona,EDQLcAfL,
saski-baskonia,8zQPdU9R,,,
,,saski-baskonia,8zQPdU9R,
real-madrid,MP6gLUO7,,,
,,real-madrid,MP6gLUO7,
real-madrid,MP6gLUO7,,,
,,real-madrid,MP6gLUO7,
valencia,6w8lqYGE,,,
,,valencia,6w8lqYGE,
real-madrid,MP6gLUO7,,,
,,real-madrid,MP6gLUO7,
real-madrid,MP6gLUO7,,,
,,real-madrid,MP6gLUO7,
barcelona,EDQLcAfL,,,
,,barcelona,EDQLcAfL,
real-madrid,MP6gLUO7,,,
,,real-madrid,MP6gLUO7,
barcelona,EDQLcAfL,,,
,,barcelona,EDQLcAfL,
barcelona,EDQLcAfL,,,
,,barcelona,EDQLcAfL,
saski-baskonia,8zQPdU9R,,,
,,saski-baskonia,8zQPdU9R,
barcelona,EDQLcAfL,,,
,,barcelona,EDQLcAfL,
saski-baskonia,8zQPdU9R,,,
,,saski-baskonia,8zQPdU9R,
real-madrid,MP6gLUO7,,,
,,real-madrid,MP6gLUO7,
unicaja,K6HkdCoR,,,
,,unicaja,K6HkdCoR,
real-madrid,MP6gLUO7,,,
,,real-madrid,MP6gLUO7,
barcelona,EDQLcAfL,,,
,,barcelona,EDQLcAfL,
barcelona,EDQLcAfL,,,
,,barcelona,EDQLcAfL,
saski-baskonia,8zQPdU9R,,,
,,saski-baskonia,8zQPdU9R,
