Team ID,Team Name,Country,Competition,Season
real-madrid,MP6gLUO7,spain,,
barcelona,EDQLcAfL,spain,,
saski-baskonia,8zQPdU9R,spain,,
real-madrid,MP6gLUO7,spain,,
real-madrid,MP6gLUO7,spain,,
valencia,6w8lqYGE,spain,,
real-madrid,MP6gLUO7,spain,,
real-madrid,MP6gLUO7,spain,,
barcelona,EDQLcAfL,spain,,
real-madrid,MP6gLUO7,spain,,
barcelona,EDQLcAfL,spain,,
barcelona,EDQLcAfL,spain,,
saski-baskonia,8zQPdU9R,spain,,
barcelona,EDQLcAfL,spain,,
saski-baskonia,8zQPdU9R,spain,,
real-madrid,MP6gLUO7,spain,,
unicaja,K6HkdCoR,spain,,
real-madrid,MP6gLUO7,spain,,
barcelona,EDQLcAfL,spain,,
barcelona,EDQLcAfL,spain,,
saski-baskonia,8zQPdU9R,spain,,
spain,,
