Player,Player_Id,Team,Pts,Reb,Ast,Min,Fgm,Fga,2pm,2pa,3pm,3pa,Ftm,Fta,+/-,or,dr,pf,st,to,bs,ba,tfs,game_id,team_number
Yusta S.,SCQuNlVa,BAS,19,4,3,25:30,-,-,2,6,4,7,3,5,30,-,4,1,1,1,-,1,-,p82pHHOm,1
Sant-Roos H.,W0aDw0lJ,BAS,12,4,7,25:01,-,-,3,4,1,1,3,4,12,-,4,2,4,1,-,-,-,p82pHHOm,1
Wright C.,0hZdKSFe,BAS,12,1,1,23:45,-,-,2,5,2,2,2,2,12,-,1,1,2,1,-,1,-,p82pHHOm,1
Jovic S.,pxskGqk1,BAS,11,1,5,22:29,-,-,5,6,-,-,1,4,4,-,1,3,1,-,-,-,-,p82pHHOm,1
Cruz-Uceda I.,I9TMzIhT,BAS,9,5,4,17:29,-,-,2,2,1,3,2,4,25,1,4,1,-,1,-,-,-,p82pHHOm,1
Hlinason T.,Yy0lDJQe,BAS,9,7,-,18:14,-,-,4,5,-,-,1,2,18,1,6,2,-,3,-,-,-,p82pHHOm,1
Mekowulu C.,vHiEJyM1,BAS,9,8,1,18:16,-,-,3,5,-,-,3,6,8,1,7,2,-,1,-,-,-,p82pHHOm,1
Ponitka M.,2uj8hHs3,BAS,8,2,2,16:39,-,-,3,6,-,-,2,2,-1,1,1,1,-,1,-,1,-,p82pHHOm,1
Simanic B.,z9GuqbNq,BAS,8,1,-,20:19,-,-,4,4,-,4,-,1,-6,-,1,3,-,2,-,-,-,p82pHHOm,1
Nguirane M. M.,vwyKs9V6,BAS,-,-,-,01:18,-,-,-,1,-,-,-,-,-7,-,-,-,-,-,-,-,-,p82pHHOm,1
