local,stat,visitor,quarter,game_id
15,Field Goals Attempted,22,1,p82pHHOm
9,Field Goals Made,10,1,p82pHHOm
60%,Field Goals %,45.5%,1,p82pHHOm
12,2-Point Field G. Attempted,13,1,p82pHHOm
8,2-Point Field Goals Made,6,1,p82pHHOm
66.7%,2-Point Field Goals %,46.2%,1,p82pHHOm
3,3-Point Field G. Attempted,9,1,p82pHHOm
1,3-Point Field Goals Made,4,1,p82pHHOm
33.3%,3-Point Field Goals %,44.4%,1,p82pHHOm
6,Free Throws Attempted,0,1,p82pHHOm
3,Free Throws Made,0,1,p82pHHOm
50%,Free Throws %,0%,1,p82pHHOm
0,Offensive Rebounds,4,1,p82pHHOm
7,Defensive Rebounds,7,1,p82pHHOm
7,Total Rebounds,11,1,p82pHHOm
3,Assists,4,1,p82pHHOm
0,Blocks,1,1,p82pHHOm
3,Turnovers,4,1,p82pHHOm
5,Steals,2,1,p82pHHOm
4,Personal Fouls,6,1,p82pHHOm
