local,stat,visitor,quarter,game_id
16,Field Goals Attempted,20,4,p82pHHOm
7,Field Goals Made,12,4,p82pHHOm
43.8%,Field Goals %,60%,4,p82pHHOm
11,2-Point Field G. Attempted,14,4,p82pHHOm
6,2-Point Field Goals Made,9,4,p82pHHOm
54.5%,2-Point Field Goals %,64.3%,4,p82pHHOm
5,3-Point Field G. Attempted,6,4,p82pHHOm
1,3-Point Field Goals Made,3,4,p82pHHOm
20%,3-Point Field Goals %,50%,4,p82pHHOm
2,Free Throws Attempted,4,4,p82pHHOm
1,Free Throws Made,3,4,p82pHHOm
50%,Free Throws %,75%,4,p82pHHOm
1,Offensive Rebounds,3,4,p82pHHOm
5,Defensive Rebounds,9,4,p82pHHOm
6,Total Rebounds,12,4,p82pHHOm
3,Assists,5,4,p82pHHOm
0,Blocks,0,4,p82pHHOm
4,Turnovers,3,4,p82pHHOm
0,Steals,3,4,p82pHHOm
5,Personal Fouls,4,4,p82pHHOm
