local,stat,visitor,quarter,game_id
16,Field Goals Attempted,18,2,p82pHHOm
11,Field Goals Made,6,2,p82pHHOm
68.8%,Field Goals %,33.3%,2,p82pHHOm
14,2-Point Field G. Attempted,6,2,p82pHHOm
10,2-Point Field Goals Made,3,2,p82pHHOm
71.4%,2-Point Field Goals %,50%,2,p82pHHOm
2,3-Point Field G. Attempted,12,2,p82pHHOm
1,3-Point Field Goals Made,3,2,p82pHHOm
50%,3-Point Field Goals %,25%,2,p82pHHOm
12,Free Throws Attempted,5,2,p82pHHOm
4,Free Throws Made,4,2,p82pHHOm
33.3%,Free Throws %,80%,2,p82pHHOm
2,Offensive Rebounds,2,2,p82pHHOm
11,Defensive Rebounds,4,2,p82pHHOm
13,Total Rebounds,6,2,p82pHHOm
7,Assists,3,2,p82pHHOm
0,Blocks,1,2,p82pHHOm
4,Turnovers,4,2,p82pHHOm
1,Steals,4,2,p82pHHOm
5,Personal Fouls,7,2,p82pHHOm
