local,stat,visitor,quarter,game_id
18,Field Goals Attempted,16,3,p82pHHOm
10,Field Goals Made,7,3,p82pHHOm
55.6%,Field Goals %,43.8%,3,p82pHHOm
10,2-Point Field G. Attempted,10,3,p82pHHOm
5,2-Point Field Goals Made,6,3,p82pHHOm
50%,2-Point Field Goals %,60%,3,p82pHHOm
8,3-Point Field G. Attempted,6,3,p82pHHOm
5,3-Point Field Goals Made,1,3,p82pHHOm
62.5%,3-Point Field Goals %,16.7%,3,p82pHHOm
10,Free Throws Attempted,0,3,p82pHHOm
9,Free Throws Made,0,3,p82pHHOm
90%,Free Throws %,0%,3,p82pHHOm
1,Offensive Rebounds,1,3,p82pHHOm
9,Defensive Rebounds,7,3,p82pHHOm
10,Total Rebounds,8,3,p82pHHOm
10,Assists,4,3,p82pHHOm
0,Blocks,1,3,p82pHHOm
1,Turnovers,7,3,p82pHHOm
4,Steals,0,3,p82pHHOm
3,Personal Fouls,9,3,p82pHHOm
