Stat,Home,Away,MatchId
Field Goals Attempted,14,18,CbOSqht1
Field Goals Made,5,3,CbOSqht1
Field Goals %,35.7%,16.7%,CbOSqht1
2-Point Field G. Attempted,5,12,CbOSqht1
2-Point Field Goals Made,4,2,CbOSqht1
2-Point Field Goals %,80%,16.7%,CbOSqht1
3-Point Field G. Attempted,9,6,CbOSqht1
3-Point Field Goals Made,1,1,CbOSqht1
3-Point Field Goals %,11.1%,16.7%,CbOSqht1
Free Throws Attempted,6,2,CbOSqht1
Free Throws Made,6,1,CbOSqht1
Free Throws %,100%,50%,CbOSqht1
Offensive Rebounds,6,6,CbOSqht1
Defensive Rebounds,9,4,CbOSqht1
Total Rebounds,15,10,CbOSqht1
Assists,4,1,CbOSqht1
Blocks,0,0,CbOSqht1
Turnovers,4,2,CbOSqht1
Steals,2,5,CbOSqht1
Personal Fouls,5,6,CbOSqht1
