Name,Home,Away,MatchId,Quarter
Field Goals Attempted,16,18,xMk077eM,4
Field Goals Made,8,5,xMk077eM,4
Field Goals %,50%,27.8%,xMk077eM,4
2-Point Field G. Attempted,12,11,xMk077eM,4
2-Point Field Goals Made,6,3,xMk077eM,4
2-Point Field Goals %,50%,27.3%,xMk077eM,4
3-Point Field G. Attempted,4,7,xMk077eM,4
3-Point Field Goals Made,2,2,xMk077eM,4
3-Point Field Goals %,50%,28.6%,xMk077eM,4
Free Throws Attempted,5,5,xMk077eM,4
Free Throws Made,4,4,xMk077eM,4
Free Throws %,80%,80%,xMk077eM,4
Offensive Rebounds,3,3,xMk077eM,4
Defensive Rebounds,9,5,xMk077eM,4
Total Rebounds,12,8,xMk077eM,4
Assists,3,2,xMk077eM,4
Blocks,3,2,xMk077eM,4
Turnovers,6,2,xMk077eM,4
Steals,1,6,xMk077eM,4
Personal Fouls,5,6,xMk077eM,4
