Stat,Home,Away,MatchId
Field Goals Attempted,18,18,CbOSqht1
Field Goals Made,10,10,CbOSqht1
Field Goals %,55.6%,55.6%,CbOSqht1
2-Point Field G. Attempted,10,10,CbOSqht1
2-Point Field Goals Made,6,6,CbOSqht1
2-Point Field Goals %,60%,60%,CbOSqht1
3-Point Field G. Attempted,8,8,CbOSqht1
3-Point Field Goals Made,4,4,CbOSqht1
3-Point Field Goals %,50%,50%,CbOSqht1
Free Throws Attempted,4,4,CbOSqht1
Free Throws Made,4,4,CbOSqht1
Free Throws %,100%,100%,CbOSqht1
Offensive Rebounds,1,4,CbOSqht1
Defensive Rebounds,4,6,CbOSqht1
Total Rebounds,5,10,CbOSqht1
Assists,8,6,CbOSqht1
Blocks,0,0,CbOSqht1
Turnovers,2,3,CbOSqht1
Steals,2,0,CbOSqht1
Personal Fouls,5,5,CbOSqht1
