Name,Home,Away,MatchId,Quarter
Field Goals Attempted,65,68,xMk077eM,0
Field Goals Made,30,21,xMk077eM,0
Field Goals %,46.2%,30.9%,xMk077eM,0
2-Point Field G. Attempted,36,33,xMk077eM,0
2-Point Field Goals Made,19,13,xMk077eM,0
2-Point Field Goals %,52.8%,39.4%,xMk077eM,0
3-Point Field G. Attempted,29,35,xMk077eM,0
3-Point Field Goals Made,11,8,xMk077eM,0
3-Point Field Goals %,37.9%,22.9%,xMk077eM,0
Free Throws Attempted,19,14,xMk077eM,0
Free Throws Made,14,10,xMk077eM,0
Free Throws %,73.7%,71.4%,xMk077eM,0
Offensive Rebounds,15,13,xMk077eM,0
Defensive Rebounds,35,21,xMk077eM,0
Total Rebounds,50,34,xMk077eM,0
Assists,16,10,xMk077eM,0
Blocks,8,3,xMk077eM,0
Turnovers,19,16,xMk077eM,0
Steals,12,15,xMk077eM,0
Personal Fouls,16,21,xMk077eM,0
