Name,Home,Away,MatchId,Quarter
Field Goals Attempted,15,18,xMk077eM,3
Field Goals Made,7,8,xMk077eM,3
Field Goals %,46.7%,44.4%,xMk077eM,3
2-Point Field G. Attempted,11,11,xMk077eM,3
2-Point Field Goals Made,5,7,xMk077eM,3
2-Point Field Goals %,45.5%,63.6%,xMk077eM,3
3-Point Field G. Attempted,4,7,xMk077eM,3
3-Point Field Goals Made,2,1,xMk077eM,3
3-Point Field Goals %,50%,14.3%,xMk077eM,3
Free Throws Attempted,8,2,xMk077eM,3
Free Throws Made,7,1,xMk077eM,3
Free Throws %,87.5%,50%,xMk077eM,3
Offensive Rebounds,5,4,xMk077eM,3
Defensive Rebounds,8,4,xMk077eM,3
Total Rebounds,13,8,xMk077eM,3
Assists,6,4,xMk077eM,3
Blocks,3,0,xMk077eM,3
Turnovers,5,5,xMk077eM,3
Steals,4,3,xMk077eM,3
Personal Fouls,4,6,xMk077eM,3
