numberPlayer,namePlayer,playerId,Starter,MatchId
10,Colom Q.,lxGLvWwM,Starter,xMk077eM
33,Gasol M.,AVMsbgY5,Starter,xMk077eM
31,Jenkins J.,KKbNFR6I,Starter,xMk077eM
11,Miletic D.,Ee7KaSGO,Starter,xMk077eM
5,Taylor K.,lf5GoNYu,Starter,xMk077eM
44,Ali P.,fH25hJ4r,Starter,xMk077eM
12,Ehigiator O.,jPWpG2Ju,Starter,xMk077eM
33,Horton K.,pxPf3AHb,Starter,xMk077eM
24,Kromah L.,QPy2LG7A,Starter,xMk077eM
15,Ngouama M.,fRKrSe1O,Starter,xMk077eM
7,Figueras P.,b7mURXx7,Substitute,xMk077eM
2,Fjellerup M.,ARjbtzC3,Substitute,xMk077eM
29,Garino P.,UmP5mMVq,Substitute,xMk077eM
23,Hill J.,EeZh4gkf,Substitute,xMk077eM
8,Prkacin R.,nT5p0N57,Substitute,xMk077eM
35,Sorolla Menasanch J.,EVrsm6Qd,Substitute,xMk077eM
4,Vila Martinez E.,EuneP2Yk,Substitute,xMk077eM
14,Diaz Rodriguez C.,4lhXmFaQ,Substitute,xMk077eM
31,Eyenga C.,4hQyEJe3,Substitute,xMk077eM
21,Fernandez J.,0Kqa683o,Substitute,xMk077eM
5,Garcia M.,EJkmWqEU,Substitute,xMk077eM
19,Lewis M.,6DyHgZx6,Substitute,xMk077eM
97,Okouo V.,84Hr3NSp,Substitute,xMk077eM
17,Samar M.,YqLt8I4I,Substitute,xMk077eM
,Reneses G.,8l3WdNZI,Substitute,xMk077eM
,Quintana O.,KpfZSQt8,Substitute,xMk077eM
