numberPlayer,namePlayer,playerId,Starter,MatchId
55,Davis J.,lS4NNkmt,Starter,6eSbIzWE
93,Fierro M.,IPXigzS4,Starter,6eSbIzWE
1,Mosley L.,8SWl2fu7,Starter,6eSbIzWE
9,Rolfi F.,EJQNWahe,Starter,6eSbIzWE
3,Simpson D.,6H0wNZ4d,Starter,6eSbIzWE
2,Chiarini M.,venc1khn,Starter,6eSbIzWE
83,Gallizi T.,Q1hU7p1n,Starter,6eSbIzWE
8,Gonzalez L.,MXxcOh1s,Starter,6eSbIzWE
9,Lugarini B.,Aw7SLKYt,Starter,6eSbIzWE
1,Vildoza L.,dlABjQd4,Starter,6eSbIzWE
11,Corso M.,0YqYqkpb,Substitute,6eSbIzWE
5,Dalpino F.,nNoS9QUM,Substitute,6eSbIzWE
77,Forestier V.,hnNvYKV0,Substitute,6eSbIzWE
02,Jackson J.,0QkW8ppT,Substitute,6eSbIzWE
8,Osimani J.,Eu2T2QPp,Substitute,6eSbIzWE
12,Pennacchiotti F.,tKFJygsm,Substitute,6eSbIzWE
10,Zanzottera T.,zX2W8FRi,Substitute,6eSbIzWE
32,Beltramino I.,vVVj2vcn,Substitute,6eSbIzWE
10,Copello N.,vkecCGMN,Substitute,6eSbIzWE
7,Elias F.,l6u4HMBA,Substitute,6eSbIzWE
22,Fernandez M.,CQT2oIU7,Substitute,6eSbIzWE
13,Frontera J. C.,WENU5OVb,Substitute,6eSbIzWE
5,Lockett P.,tANJpqQe,Substitute,6eSbIzWE
3,Moussa F.,QRRn3Kst,Substitute,6eSbIzWE
