numberPlayer,namePlayer,playerId,Starter,MatchId
23,Cook E.,4KKgjNXa,Starter,CbOSqht1
42,Doornekamp A.,vTsVATcS,Starter,CbOSqht1
3,Fernandez J.,t4tFyDeD,Starter,CbOSqht1
6,Fitipaldo B.,OAhUo1US,Starter,CbOSqht1
19,Shermadini G.,d2NaKecr,Starter,CbOSqht1
23,Geben M.,jm9NhApr,Starter,CbOSqht1
3,Harding J.,riOas1WP,Starter,CbOSqht1
5,Jou Coll G.,b7kxMvNp,Starter,CbOSqht1
55,Perez D.,WSagtysr,Starter,CbOSqht1
22,Vaulet J.,M1nqr5o3,Starter,CbOSqht1
21,Abromaitis T.,MLAJIYnk,Substitute,CbOSqht1
31,Bolmaro L.,OQhdGy62,Substitute,CbOSqht1
12,Diagne M.,tOz2GgJ5,Substitute,CbOSqht1
35,Guerra F.,GWsReuE3,Substitute,CbOSqht1
9,Huertas M.,6ZXvLgvp,Substitute,CbOSqht1
4,Rodriguez S.,4ITGPYH1,Substitute,CbOSqht1
10,Salin S.,42oW2uEi,Substitute,CbOSqht1
0,Badio B.,nNezr6cT,Substitute,CbOSqht1
17,Ferrari F.,KrcCF12j,Substitute,CbOSqht1
6,Garcia D.,j7zRmlV0,Substitute,CbOSqht1
21,Olumuyiwa B.,WOP661cb,Substitute,CbOSqht1
00,Robinson D.,KE7Z4LcG,Substitute,CbOSqht1
12,Steinbergs M.,SQuAt4dP,Substitute,CbOSqht1
1,Waczynski A.,StEqStwD,Substitute,CbOSqht1
,Vidorreta T.,hzO54Rzd,Substitute,CbOSqht1
,Martinez Sanchez P.,48E7Ncxt,Substitute,CbOSqht1
