"namePlayer,ids"
rivero-jasiel,SCxneVDU
marinkovic-vanja,6PS5pNL2
costello-matt,bacFCeC8
howard-markus,xUarr8mb
jones-chris,AmMmMK2K
evans-shannon,AgyMxQAL
webb-james-iii,GOkYUYSc
giedraitis-rokas,6NgZ86t8
diez-daniel,KOCb0Tzg
alexander-kyle,2HZlHqWf
radebaugh-jonah,nkt2awug
thompson-darius,G6vjnxhp
kurucs-arturs,tQNxqPm5
lopez-arostegui-xabier,biaghFhs
claver-victor,UXxqdX2I
enoch-steven,bLeCXYBp
heidegger-max,KMIU5C49
hermannsson-martin,KfL2tLO9
kotsar-maik-kalev,hKXDZBmP
raieste-sander,xh9pUkBn
pradilla-jaime,r3RCui8s
puerto-josep,WMpeWGLn
