"namePlayer,ids"
harding-jerrick,riOas1WP
heidegger-max,KMIU5C49
costello-matt,bacFCeC8
enoch-steven,bLeCXYBp
robinson-devin,KE7Z4LcG
badio-brancou,nNezr6cT
geben-martinas,jm9NhApr
diez-daniel,KOCb0Tzg
giedraitis-rokas,6NgZ86t8
kurucs-arturs,tQNxqPm5
marinkovic-vanja,6PS5pNL2
perez-dani,WSagtysr
vaulet-juan,M1nqr5o3
thompson-darius,G6vjnxhp
howard-markus,xUarr8mb
raieste-sander,xh9pUkBn
garcia-dani,j7zRmlV0
kotsar-maik-kalev,hKXDZBmP
sagnia-m,xMLJ2LbR
jou-coll-guilliem,b7kxMvNp
steinbergs-marcis,SQuAt4dP
olumuyiwa-babatunde,WOP661cb
waczynski-adam,StEqStwD
